정류소ID,모바일ID,정류소명,영문명,시/도,구/군,동,X좌표,Y좌표,경유노선수,경유노선
7111059400,03082,달성2차산업단지출장소앞,Dalseong 2th Industrial Complex Branch Office,대구광역시,달성군,구지면,12825.3059,3538.3976,1,600
7111059500,05088,과학마을청아람앞,Gwahak Maeul Chungahram,대구광역시,달성군,구지면,12825.059,3539.3015,3,"600, 급행8, 달성7"
7111059600,09246,현풍터미널건너,Hyeonpung Bus Terminal,대구광역시,달성군,현풍면,12826.4923,3541.9785,2,"600, 달성6"
7111059700,02732,유가차천1,Yuga Chacheon,대구광역시,달성군,현풍면,12826.9039,3540.4224,5,"600, 달성3, 달성5, 달성6, 달성7"
7111059800,02731,유가차천,Yuga Chacheon,대구광역시,달성군,현풍면,12826.8963,3540.4696,5,"600, 달성3, 달성5, 달성6, 달성7"
7111059900,02733,대1리용흥지앞,Dae 1-ri Yongheungji,대구광역시,달성군,현풍면,12825.894674,3540.003003,3,"600, 급행8, 달성3"
7111060000,02734,응암2리앞,Eungam 2-ri,대구광역시,달성군,구지면,12825.0532,3538.7516,1,600
7111060100,02735,응암2리건너,Eungam 2-ri,대구광역시,달성군,구지면,12825.0691,3538.7615,1,600
7111060200,02736,가창댐,Gachangdam,대구광역시,달성군,가창면,12836.9406,3547.8702,1,가창2
7111060300,02737,가창댐1,Gachangdam,대구광역시,달성군,가창면,12836.8181,3547.8998,1,가창2
7111060400,03152,대실역1,Daesil Station,대구광역시,달성군,다사읍,12827.860531,3551.371482,2,"성서1-1, 성서2"
7111060500,03155,대실역2,Daesil Station,대구광역시,달성군,다사읍,12827.9009,3551.3983,2,"성서1, 성서2"
7111060600,03153,죽곡2지구1,Jukgok Area,대구광역시,달성군,다사읍,12827.8616,3551.1556,2,"성서1-1, 성서2"
7111060700,03154,죽곡2지구2,Jukgok Area,대구광역시,달성군,다사읍,12827.874271,3551.176331,2,"성서1, 성서2"
7111060800,02738,대리마을앞,Dae-ri Maeul,대구광역시,달성군,현풍면,12825.2674,3539.8955,2,"600, 달성3"
